By Abstract,By Title,Title
,Y,Improving Accuracy of Heart Failure Detection Using Data Refinement
,Y,Learning Explainable Time-Morphology Patterns for Automatic Arrhythmia Classification from Short Single-Lead ECGs
,Y,Machine Learning in Fetal Health: Improving ECG Analysis with Random Forest
,Y,Machine Learning Techniques with ECG and EEG Data: An Exploratory Study
,Y,Mel-frequency cepstral based heart sound signal segmentation for decision support system; [Karar Destek Sistemi İçin Mel-Frekans Kepstral Tabanli Kalp Ses Sinyali Bölütleme Çalişmasi]
,Y,Novel Approach to Assess Cardiac Function Using Systolic Performance and Myocardial Performance Indices From Simultaneous Electrocardiography and Phonocardiography Recordings in Dogs With Various Stages of Myxomatous Mitral Valve Disease.
Y,Y,PEP and LVET Detection from PCG and ECG
,Y,Pre-ejection period (Pep) estimation based on r-wave in ecg and on-body continuous wave radar signal during daily activities
,Y,"Pre-ejection period, the reason why the electrocardiogram Q-wave is an unreliable indicator of pulse wave initialization."
,Y,P-wave indices to detect susceptibility to atrial fibrillation
Y,Y,Quantification of Systolic Time Intervals Using Continuous Wavelet Transform of Electrocardiogram and Phonocardiogram Signals
,Y,Real-time respiratory rate estimation using imaging photoplethysmography inter-beat intervals
,Y,Relationships between Blood Pressure and Systolic Time-Intervals: a Lumped-Model Simulation Study
,Y,Respiratory rate estimation from multi-lead ECGs using an adaptive frequency tracking algorithm
,Y,Shearlet and contourlet transforms for analysis of electrocardiogram signals.
,Y,Signal to Image Conversion and Convolutional Neural Networks for Physiological Signal Processing: A Review
,Y,Splitting the P-Wave: Improved Evaluation of Left Atrial Substrate Modification after Pulmonary Vein Isolation of Paroxysmal Atrial Fibrillation
,Y,Systolic and Diastolic Time Interval Variability Analysis and Their Relations with Heart Rate Variability
,Y,Systolic time interval estimation at the sternum using continuous wave radar with body-contact antennas
,Y,Systolic Time Interval Extraction in Hypertensive and Hypotensive Pig Models Using Wearable Near-Field Radio-Frequency Sensors.
,Y,The Comparison Features of ECG Signal with Different Sampling Frequencies and Filter Methods for Real-Time Measurement
,Y,The repeatability of estimated systolic time intervals in healthy subjects using seismocardiogram and electrocardiogram.
Y,Y,Timing the opening and closure of the aortic valve using a phonocardiogram envelope: A performance test for systolic time intervals measurement.
,Y,Towards precise tracking of electric-mechanical cardiac time intervals through joint ECG and BCG sensing and signal processing
,Y,Use of proposed systolic and myocardial performance indices derived from simultaneous ECG and PCG recordings to assess cardiac function in healthy Beagles.
,Y,Variable impedance cardiography waveforms: How to evaluate the preejection period more accurately
Y,Y,"Wearable Cardiorespiratory Monitoring Employing a Multimodal Digital Patch Stethoscope: Estimation of ECG, PEP, LVET and Respiration Using a 55 mm Single-Lead ECG and Phonocardiogram"
,Y,Wearable seismocardiography for the beat-to-beat assessment of cardiac intervals during sleep.
,Y,Wearable seismocardiography: Towards a beat-by-beat assessment of cardiac mechanics in ambulant subjects.
,N,A new algorithm for segmentation of cardiac quiescent phases and cardiac time intervals using seismocardiography
,N,A comparison of acoustic cardiography and echocardiography for optimizing pacemaker settings in cardiac resynchronization therapy.
,N,A new and simple method for distinguishing complete from incomplete block through the cavotricuspid isthmus.
,N,"""Sleep disordered breathing and ECG R-wave to radial artery pulse delay, The Multi-Ethnic Study of Atherosclerosis""."
,N,10.3390/s20164522
,N,3D-ballistocardiography in microgravity: Comparison with ground based recordings.
,N,A Case of Lateral Cavotricuspid Isthmus (CTI) Reentrant Atrial Tachycardia (AT) Showing ECG Similar to Common Atrial Flutter (AFL) without Prior Ablation
,N,A Case of Post-MAZE Atrial Flutter
,N,A Case with Macroreentrant Atrial Tachycardia around Sinus Venosa Region -Demonstration of Conduction across Crista Terminalis after Cavotricuspid Isthmus Block-
,N,A cause of dilated cardiomyopathy in child: Primary carnitine deficiency; [Une cause de cardiomyopathie dilatée chez l'enfant : Le déficit primaire en carnitine]
,N,A correlation between digoxin plasma concentrations and systolic time intervals in hospitalized congestive heart failure patients.
,N,A Fast Deep Learning ECG Sex Identifier Based on Wavelet RGB Image Classification
,N,A model-based study of the influence of vaso-active drugs on pulse delays measured from the electrocardiogram
,N,A Narrowband IoT Personal Sensor for Long-Term Heart Rate Monitoring and Atrial Fibrillation Detection
,N,A new approach for daily life Blood-Pressure estimation using smart watch
,N,A new method for ECG tracking of persistent atrial fibrillation termination during stepwise ablation
,N,A new method to calculate the beat-to-beat instability of QT duration in drug-induced long QT in anesthetized dogs.
,N,A novel continuous cardiac output monitor based on pulse wave transit time.
,N,A novel handheld device for use in remote patient monitoring of heart failure patients-design and preliminary validation on healthy subjects
,N,A novel preprocessing tool to enhance ECG R-wave extraction
,N,A Novel Smartphone App for the Measurement of Ultra-Short-Term and Short-Term Heart Rate Variability: Validity and Reliability Study.
,N,A Novel SVD Noise Cancellation Algorithm for ICG Signal
,N,A portable multi-physiological signal synchronization acquisition device for cuff-less blood pressure variation tracking
,N,A Prototype Framework Design for Assisting the Detection of Atrial Fibrillation Using a Generic Low-Cost Biomedical Sensor
,N,A rapid approach to assess cardiac contractility by ballistocardiogram and electrocardiogram.
,N,A real-time compressed sensing-based personal electrocardiogram monitoring system
,N,A Review of Atrial Fibrillation Detection Methods as a Service
,N,A study of the clinical application value of ultrasound and electrocardiogram in the differential diagnosis of cardiomyopathy.
,N,A Tale of 2 Hearts: Simultaneous Dual Tachycardias Occurring 22 Years After Orthotopic Heart Transplantation.
,N,A textile-based wearable system for the prolonged assessment of cardiac mechanics in daily life.
,N,A Thorax Simulator for Complex Dynamic Bioimpedance Measurements With Textile Electrodes.
,N,A validation study of electrical cardiometry in pregnant patients using transthoracic echocardiography as the reference standard
,N,A Vehicle Passive Entry Passive Start System with the Intelligent Internet of Things
,N,Ablation of typical atrial flutter guided by the paced PR interval on the surface electrocardiogram: A proof of concept study.
,N,Ablation outcomes and quality of life in patients with atrial flutter and concomitant paroxysmal atrial fibrillation
,N,Abnormal systolic time intervals in obesity and their relationship with the amount of overweight.
,N,Absolute-delay multiphase reconstruction reduces prosthetic valve-related and atrial fibrillation-related artifacts at cardiac CT
,N,Accurate Pulse Transit Time Acquisition Method for Multi-Point Photoplethysmography
,N,Achieving Real-Time Prediction of Paroxysmal Atrial Fibrillation Onset by Convolutional Neural Network and Sliding Window on R-R Interval Sequences
,N,Acoustic cardiographic indices of transmyocardial ischemia during percutaneous coronary intervention
,N,Acute effects of fine particulate air pollution on ST segment height: a longitudinal study.
,N,"Acute Effects of Nicardipine and Esmolol on The Cardiac Cycle, Intracardiac Hemodynamic and Endothelial Shear Stress in Patients With Unstable Angina Pectoris and Moderate Coronary Stenosis: Results From Single Center, Randomized Study"
,N,Acute hemodynamic effects of medetomidine and clonidine in healthy volunteers: a noninvasive echocardiographic study.
,N,Acute phosphine poisoning on board a bulk carrier: Analysis of factors leading to a fatal case
,N,Adaption of the standard 12-lead ECG system focusing on atrial electrical activity
,N,Adaptive multiple frequency tracking algorithm: Detection of stable atrial fibrillation sources from standard 12-lead ECG
,N,Advanced observation and telemetry heart system utilizing wearable ECG device and a Cloud platform
,N,"Age, gender and drug therapy influences on Tpeak-tend interval and on electrical risk score."
,N,Agentic extraversion modulates the cardiovascular effects of the dopamine D2 agonist bromocriptine
,N,Age-related digoxin effects in an intact canine model.
,N,AI-enabled epidermal electronic system to automatically monitor a prognostic parameter for hypertension with a smartphone
,N,Airline Point-of-Care System on Seat Belt for Hybrid Physiological Signal Monitoring
,N,Algorithm for cavo-Tricuspid isthmus flutter on surface ECGs: The ACTIONS study.
,N,Ambulatory measurement of the ECG T-wave amplitude.
,N,An adaptive organization index to characterize atrial fibrillation using wrist-type photoplethysmographic signals
,N,An approach to catheter ablation of cavotricuspid isthmus dependent atrial flutter.
,N,An Automated High-Accuracy Detection Scheme for Myocardial Ischemia Based on Multi-Lead Long-Interval ECG and Choi-Williams Time-Frequency Analysis Incorporating a Multi-Class SVM Classifier
,N,An Ear-Worn Vital Signs Monitor.
,N,An ECG Stitching Scheme for Driver Arrhythmia Classification Based on Deep Learning
,N,An Independent Component Analysis Approach to Motion Noise Cancelation of Cardio-Mechanical Signals
,N,An Investigation on the Effect of Extremely Low Frequency Pulsed Electromagnetic Fields on Human Electrocardiograms (ECGs)
,N,An unobtrusive wearable device for ambulatory monitoring of pulse transit time to estimate central blood pressure
,N,Analysis and correction of ballistocardiogram contamination of EEG recordings in MR.
,N,Analysis of cardiovascular time series using multivariate sample entropy: A comparison between normal and congestive heart failure subjects
,N,Analysis of Physiological Signals for Stress Recognition with Different Car Handling Setups
,N,Analyzing SCG methodology for identification of ventricular depolarization events
,N,Antiarrhythmic Effect of Sacubitril-Valsartan: Cause or Consequence of Clinical Improvement?
,N,Antiarrhythmic Properties of Elsholtzia ciliata Essential Oil on Electrical Activity of the Isolated Rabbit Heart and Preferential Inhibition of Sodium Conductance
,N,Application of automated fetal valve motion identification to investigate fetal heart anomalies
,N,Application of impedance cardiographic ambulatory monitoring device for analysis of central hemodynamic variability in atrial fibrillation
,N,Application of Permutation Entropy and Permutation Min-Entropy in Multiple Emotional States Analysis of RRI Time Series
,N,Application of phonocardiography on preterm infants with patent ductus arteriosus
,N,Application of the Permutation Entropy over the Heart Rate Variability for the Improvement of Electrocardiogram-based Sleep Breathing Pause Detection
,N,Arrhythmia and Heart Rate Variability during Long Interdialytic Periods in Patients on Maintenance Hemodialysis: Prospective Observational Cohort Study
,N,Arrhythmias among Older Adults Receiving Comprehensive Geriatric Care: Prevalence and Associated Factors
,N,Arrhythmogenic right ventricular cardiomyopathy - Time for Nordic cooperation!
,N,Arsenic in cancer therapy
,N,Artificial Intelligence Applied to Electrical and Non-Invasive Hemodynamic Markers in Elderly Decompensated Chronic Heart Failure Patients
,N,Artificial intelligence-enabled electrocardiogram to distinguish cavotricuspid isthmus dependence from other atrial tachycardia mechanisms.
,N,Assessing cardiac preload by the Initial Systolic Time Interval obtained from impedance cardiography
,N,Assessing Driversâ€™ Physiological Responses Using Consumer Grade Devices
,N,Assessment of Cardiac Autonomic Function by Short-Term Sensor-Based and Long-Term Heart Rate Variability Analyses in Individuals with Spinal Cord Injury After Long-Term Table Tennis Training
,N,Assessment of cardiac function in marathon runners by graphic noninvasive techniques.
,N,Assessment of Cardio-Respiratory Relationship during and after Exercise in Healthy Recreative Male Subjects: A Pilot Study
,N,Assessment of myocardial function in Retrievers with dilated cardiomyopathy using 2D speckle tracking echocardiography: a pilot study
,N,Assessment of pre-ejection period in ambulatory subjects using seismocardiogram in a wearable blood pressure monitor.
,N,Assessment of Prescribing and Monitoring Habits for Patients Taking an Antiarrhythmic and Concomitant QTc-Prolonging Antibiotic
,N,Assessment of right ventricular diastolic function by tissue doppler imaging in patients with acute right ventricular myocardial infarction
,N,Assessment of systolic and diastolic function in clinically healthy horses using ambulatory acoustic cardiography.
,N,Assessment of systolic and diastolic function in heart failure using ambulatory monitoring with acoustic cardiography
,N,Assessment of the Cardiac Response to Sleep Arousal
,N,Association between Levels of Urine Di-(2-ethylhexyl)phthalate Metabolites and Heart Rate Variability in Young Adults
,N,Association between phonocardiography and echocardiography in heart failure patients with preserved ejection fraction
,N,Association Between Serum Irisin Levels and ST-Segment Elevation Myocardial Infarction.
,N,Association of longer QT interval with arterial waveform and lower pulse pressure amplification: The nagahama study
,N,Associations Between Colonic Motor Patterns and Autonomic Nervous System Activity Assessed by High-Resolution Manometry and Concurrent Heart Rate Variability.
,N,"Atrial Fibrillation Diagnosis Timing, Ambulatory ECG Monitoring Utilization, and Risk of Recurrent Stroke."
,N,Atrial Flutter.
,N,Atrial tachycardias after atrial fibrillation ablation manifest different waveform characteristics: Implications for characterizing tachycardias
,N,Atrial Tachycardias After Atrial Fibrillation Ablation Manifest Different Waveform Characteristics: Implications for Characterizing Tachycardias.
,N,Atrioventricular conduction delay in fetuses exposed to anti-SSA/Ro and anti-SSB/La antibodies: A magnetocardiography study
,N,Atrioventricular Synchronization for Detection of Atrial Fibrillation and Flutter in One to Twelve ECG Leads Using a Dense Neural Network Classifier
,N,Atypical Atrial Flutter following Circumferential Left Atrial Ablation
,N,Atypical electrocardiographic features of cavotricuspid isthmus-dependent atrial flutter occurring during left atrial fibrillation ablation.
,N,Atypical Electrocardiographic Features of Cavotricuspid Isthmus-Dependent Atrial Flutter Occurring during Left Fibrillation Ablation
,N,Autoencoder-Based Extrasystole Detection and Modification of RRI Data for Precise Heart Rate Variability Analysis
,N,Automated Detection of Sudden Cardiac Death by Discrete Wavelet Transform of Electrocardiogram Signal
,N,Automated pre-ejection period variation indexed to tidal volume predicts fluid responsiveness after cardiac surgery.
,N,Automatic and robust delineation of the fiducial points of the seismocardiogram signal for noninvasive estimation of cardiac time intervals
,N,Automatic Atrial Fibrillation Arrhythmia Detection Using Univariate and Multivariate Data
,N,Automatic Detection of Atrial Fibrillation in ECG Using Co-Occurrence Patterns of Dynamic Symbol Assignment and Machine Learning
,N,Autonomic Dysfunction and Cardiovascular Risk in Patients with Rheumatoid Arthritis: Can Heart Rate Variability Analysis Contribute to a Better Evaluation of the Cardiovascular Profile of a Patient?
,N,"Autonomic function testing aboard the ISS using ""Pneumocard"""
,N,Beyond auscultation - Acoustic cardiography in the diagnosis and assessment of cardiac disease
,N,Biosignal-Based Digital Biomarkers for Prediction of Ventilator Weaning Success
,N,Blockchain-Based Solutions Supporting Reliable Healthcare for Fog Computing and Internet of Medical Things (IoMT) Integration
,N,Blood Pressure Estimation Using On-body Continuous Wave Radar and Photoplethysmogram in Various Posture and Exercise Conditions.
,N,Blue scale: Early detection of impending congestive heart failure events via wireless daily self-monitoring
,N,Bufferless Compression of Asynchronously Sampled ECG Signals in Cubic Hermitian Vector Space
,N,Callous-unemotional traits and pre-ejection period in response to reward.
,N,Cancer stem cells and therapeutic perspectives
,N,Cardiac alterations in 36 consecutive patients with idiopathic haemochromatosis: polygraphic and echocardiographic evaluation.
,N,"Cardiac dysfunction, monitoring, and management"
,N,Cardiac Electromechanical Activity in Healthy Cats and Cats with Cardiomyopathies.
,N,Cardiac Function Monitoring for Patients Undergoing Cancer Treatments Using Wearable Seismocardiography: A Proof-of-Concept Study
,N,Cardiac Physiology
,N,Cardiac systolic time intervals in fetal monkeys: pre-ejection period.
,N,"Cardiac troponin elevation, cardiovascular morbidity, and outcome after subarachnoid hemorrhage."
,N,Cardiac typing and the diagnostic challenge of the preinfarction state by direct body ballistocardiography.
,N,Cardiodiagnostics Based on Photoplethysmographic Signals
,N,Cardiotoxicity of lead at various perfusate calcium concentrations: functional and metabolic responses of the perfused rat heart.
,N,Cardiovascular (ECG and systolic time intervals) and anticholinergic effects of repeated doses of femoxetine--a comparison with amitriptyline and placebo in healthy men.
,N,Cardiovascular changes during the performance by nonathletes of Bosco repeated jumps anaerobic test
,N,"Cardiovascular effects of amitriptyline, mianserin, zimelidine and nomifensine in depressed patients."
,N,"Cardiovascular effects, pharmacokinetics and cross-reactivity in digitalis glycoside immunoassays of an antidiarrheal uzara root extract"
,N,Cardiovascular findings in very low birthweight schoolchildren with and without bronchopulmonary dysplasia
,N,Cardiovascular imaging in conduction system pacing: What does the clinician need?
,N,"Cardiovascular responses of Type A and Type B behavior patterns to visual stimulation during rest, stress and recovery."
,N,Carnosic acid mitigates doxorubicin-induced cardiac toxicity: Evidence from animal and cell model investigations.
,N,Carotid artery pulse wave time characteristics to quantify ventriculoarterial responses to orthostatic challenge
,N,Case 10
,N,"Case 12: A 56 y/o Man, with Typical AFL"
,N,Case 13
,N,Case 14
,N,Case 16
,N,Case 6
,N,Catheter ablation of atrial flutter: A survey focusing on post ablation oral anticoagulation management and ECG monitoring.
,N,Catheter ablation of cavotricuspid isthmus dependent atrial flutters
,N,Central haemodynamic variability during sleep in subjects with and without atrial fibrillation
,N,Cerebral blood flow velocity wave form as an indicator of neonatal left ventricular heart function.
,N,Change in pulse transit time and pre-ejection period during head-up tilt-induced progressive central hypovolaemia.
,N,Change of cardiac reserve during abnormal pregnancy and its evaluation
,N,Changes in cardiac and respiratory function of Antarctic Research Expedition members--preliminary report.
,N,Changes in Forcecardiography Heartbeat Morphology Induced by Cardio-Respiratory Interactions
,N,"Changes of Fragmented QRS Wave, Echocardiography and 2D-STI Parameters in Patients with AMI after PCI; [AMI患者PCI术后碎裂QRS波、超声心动图及2D-STI参数的变化]"
,N,Characteristics of cavotricuspid isthmus-dependent atrial flutter after left atrial ablation of atrial fibrillation.
,N,Characterization of surrogate parameters for blood pressure regulation in neurally-mediated syncope.
,N,Chest Pulse-Wave Velocity: A Novel Approach to Assess Arterial Stiffness
,N,Classification of Congestive Heart Failure from ECG Segments with a Multi-Scale Residual Network
,N,Clinical and Electrophysiologic Characteristics of Intra-Istmus Reentry
,N,Clinical and experimental studies of coronary heart disease treated with yi-qi huo-xue injection.
,N,"Clinical prediction of cavotricuspid isthmus dependence in patients referred for catheter ablation of ""typical"" atrial flutter."
,N,Clinicopathologic evidence of myocardial injury in horses with acute abdominal disease.
,N,Clonidine and prazosin in the treatment of hypertensive outpatients--a preliminary study.
,N,Cognitive Impact and Psychophysiological Effects of Stress Using a Biomonitoring Platform
,N,Cognitive Load Prediction from Multimodal Physiological Signals using Multiview Learning
,N,"Comparative measurements of left ventricular ejection time by mechano-, echo- and electrical impedance cardiography."
,N,Comparing Door-To-Balloon Time between ST-Elevation Myocardial Infarction Electrocardiogram and Its Equivalents
,N,Comparing Ventricular Synchrony in Left Bundle Branch and Left Ventricular Septal Pacing in Pacemaker Patients
,N,Comparison between Electrocardiographic and Earlobe Pulse Photoplethysmographic Detection for Evaluating Heart Rate Variability in Healthy Subjects in Short- and Long-Term Recordings
,N,Comparison of Depolarization and Repolarization Parameters in Left vs. Right Ventricular Septal Pacingâ€”An Intraprocedural Electrocardiographic Study
,N,Comparison of regular atrial tachycardia incidence after circumferential radiofrequency versus cryoballoon pulmonary vein isolation in real-life practice.
,N,Comparison of the Efficacy and Safety of Adamgammadex with Sugammadex for Reversal of Rocuronium-Induced Neuromuscular Block: Results of a Phase II Clinical Trial
,N,Comparison of the impedance cardiogram with continuous wave radar using body-contact antennas.
,N,Comparison of TWA and PEP as indices of alpha2- and ss-adrenergic activation.
,N,Comparison of yoga and walking-exercise on cardiac time intervals as a measure of cardiac function in elderly with increased pulse pressure.
,N,Comparitive [Comparative] study of the indexes of pulmonary arterial pressure of healthy children at different altitudes by Doppler echocardiography
,N,Computer determination of systolic time intervals based on impedance cardiography.
,N,Computers in cardiology/physionet challenge 2004: AF classification based on clinical features
,N,Continuous monitoring of cardiac output from TCG signals
,N,Continuous systolic blood pressure measurement based on improved pulse transit time
,N,Conversion to partial isthmus-dependent flutter during cavotricuspid isthmus ablation: The utility of Advisor HD grid in identifying local fragment electrograms
,N,Coronary Computed Tomography Angiography with Deep Learning Image Reconstruction: A Preliminary Study to Evaluate Radiation Exposure Reduction
,N,Correlation of echocardiographic derived systolic time intervals in heart failure patients with other left ventricular systolic indices
,N,Cuff-Less Estimation of Blood Pressure Using Pulse Transit Time and Pre-ejection Period
,N,Cuffless Estimation of Systolic Blood Pressure for Short Effort Bicycle Tests: The Prominent Role of the Pre-Ejection Period
,N,Decrease of electrical cardiac systole
,N,Deep Contrastive Learning-Based Model for ECG Biometrics
,N,Deep-Learning Model to Predict Coronary Artery Calcium Scores in Humans from Electrocardiogram Data
,N,Delayed Ventricular Repolarization and Sodium Channel Current Modification in a Mouse Model of Rett Syndrome
,N,"Deriving Accurate Nocturnal Heart Rate, rMSSD and Frequency HRV from the Oura Ring"
,N,Design and developing a photoplethysmographic device dedicated to the evaluation of representative indexes in the response to vascular filling using systolic time intervals
,N,Desmethylimipramine and imipramine on left ventricular function and the ECG: a randomized crossover design.
,N,Detecting heart failure from B-mode ultrasound characterization of arterial pulse waves
,N,Detection and hemodynamic significance of cardiac pacemaker-induced phrenic nerve stimulation.
,N,Detection of Left Ventricular Ejection Fraction Abnormality Using Fusion of Acoustic and Biopotential Characteristics of Precordium
,N,Detection of microvascular injury by evaluating epicardial blood flow in early reperfusion following primary angioplasty.
,N,Detection of opening and closing of the aortic valve using impedance cardiography and its validation by echocardiography
,N,Detection of Patients with Congenital and Often Concealed Long-QT Syndrome by Novel Deep Learning Models
,N,Determination of heart rate variability with an electronic stethoscope
,N,Development and Evaluation of a Virtual Environment to Assess Cycling Hazard Perception Skills
,N,Development and Validation of an Algorithm for the Digitization of ECG Paper Images
,N,Development of a Finger-Ring-Shaped Hybrid Smart Stethoscope for Automatic S1 and S2 Heart Sound Identification
,N,Development of a new non-invasive system for fetal hypoxia diagnosis
,N,Device profile of the Coala Heart Monitor for remote monitoring of the heart rhythm: overview of its efficacy.
,N,Diagnostic Accuracy of a Portable ECG Device in Rowing Athletes
,N,Diastolic intervals in cardiomyopathy and abnormal thyroid states: alterations in isovolumic relaxation time and rapid filling time of depressed and enhanced myocardial contractility.
,N,Diastolic isthmus length and 'vertical' isthmus angulation identify patients with difficult catheter ablation of typical atrial flutter: A pre-procedural MRI study.
,N,Diastolic time - Frequency relation in the stress echo lab: Filling timing and flow at different heart rates
,N,Different electrophysiological characteristics of cavo-tricuspid isthmus dependent atrial flutter guided by robotic magnetic navigation in patients with and without prior cardiac surgery.
,N,Differential effects of digoxin at comparable concentrations in tissues of fetal and adult sheep.
,N,Dispersion of repolarization in canine ventricle and the electrocardiographic T wave: Tp-e interval does not reflect transmural dispersion.
,N,Disposition kinetics of the relative increase in electrocardiographic time intervals (DISKRIETI): A novel method for the evaluation of the cardiac effects of antimalarial drugs
,N,Diuretic induced long term hemodynamic changes in hypertension. A retrospective study in a MRFIT clinical center.
,N,Dose-dependent shortening of systolic time intervals after intake of pengitoxin.
,N,Dynamic Bayesian Model for Detecting Obstructive Respiratory Events by Using an Experimental Model
,N,Dynamic response of the Initial Systolic Time Interval to a breathing stimulus measured with impedance cardiography
,N,Early assessment of ventricular synchronization and function after left bundle-branch-area pacing with right bundle-branch block.
,N,Early Detection of Atrial Fibrillation Based on ECG Signals
,N,Early repolarization pattern on ECG predicts worse outcomes in patients hospitalized due to chronic heart failure decompensation
,N,ECG Changes in Melanoma Patients Undergoing Cancer Therapyâ€”Data from the ECoR Registry
,N,ECG QT-I nterval Measurement Using Wavelet Transformation
,N,ECG-Based Semi-Supervised Anomaly Detection for Early Detection and Monitoring of Epileptic Seizures
,N,ECG-derived markers to identify patients prone to atrial fibrillation
,N,ECG-Free Heartbeat Detection in Seismocardiography and Gyrocardiography Signals Provides Acceptable Heart Rate Variability Indices in Healthy and Pathological Subjects
,N,ECG-gated 99mTc single-photon emission CT for assessment of right ventricular structure and function: Is the information provided similar to echocardiography?
,N,"Editorial: Cardiac Vibration Signals: Old Techniques, New Tricks, and Applications"
,N,Effect of 60 degrees head-up tilt on systolic time intervals in hypertensive patients.
,N,Effect of 60° head-up tilt on systolic time intervals in hypertensive patients
,N,Effect of a Percutaneous Coronary Intervention Procedure on Heart Rate Variability and Pulse Transit Time Variability: A Comparison Study Based on Fuzzy Measure Entropy
,N,Effect of Cardiac Phase on Cardiac Output Index Derived from Dynamic CT Myocardial Perfusion Imaging
,N,Effect of Cycling on a Stationary Bike While Performing Assembly Tasks on Human Physiology and Performance Parameters
,N,Effect of exercise on left ventricular ejection time in patients with prolapsing mitral leaflet syndrome.
,N,Effect of exogenous glucagon on left-ventricular contraction dynamics during restitution after exercise in healthy men.
,N,Effect of head-up tilting on systolic time intervals in normal young volunteers.
,N,Effect of measurement location on cardiac time intervals estimated by seismocardiography
,N,Effect of orthostatic stress on systolic time intervals in rabbits.
,N,Effect of several cigarettes smoked uninterruptedly on left ventricular systolic time intervals in healthy subjects.
,N,Effect of the time of the day on left ventricular systole and diastole dynamics.
,N,Effect of training on left ventricular contraction dynamics at rest and during maximal exercise.
